date,home,away,elo_p_home,elo_p_draw,elo_p_away,mkt_p_home,mkt_p_draw,mkt_p_away,outcome,elo_favorite_won
2024-10-26,Man City,Southampton,0.924779324418807,0.04493765063872697,0.030283024942465993,0.8655293527345709,0.09232313095835423,0.04214751630707476,H,True
2020-07-05,Liverpool,Aston Villa,0.9207213018385361,0.04590966341029409,0.03336903475116977,0.8184283030763262,0.12071817470375809,0.06085352221991587,H,True
2025-03-08,Liverpool,Southampton,0.9184865860370066,0.0464846116762126,0.03502880228678075,0.8777981651376147,0.08472660550458716,0.03747522935779817,H,True
2019-10-26,Man City,Aston Villa,0.9117211833972373,0.04837845521579259,0.03990036138697008,0.912505158893933,0.058621543541064795,0.02887329756500206,H,True
2020-07-26,Man City,Norwich,0.908712392846697,0.04928752209886601,0.04200008505443695,0.9245715400180403,0.05197591360101417,0.023452546380945415,H,True
2024-10-05,Arsenal,Southampton,0.9071503919921691,0.04977421279070634,0.04307539521712454,0.8306971008498688,0.11780056686868555,0.05150233228144563,H,True
2021-08-21,Man City,Norwich,0.9049192034923957,0.05048596922970429,0.044594827277899984,0.8647066648929095,0.09771185313289876,0.03758148197419183,H,True
2020-03-07,Liverpool,Bournemouth,0.9040061721851912,0.050782642065430275,0.04521118574937853,0.7903708955704899,0.13657967317223763,0.07304943125727255,H,True
2020-12-27,Liverpool,West Brom,0.902005043386254,0.05144343948117472,0.046551517132571274,0.8546607623667639,0.10208949909877833,0.04324973853445782,D,False
2019-12-14,Liverpool,Watford,0.9011077936107367,0.05174430025553424,0.04714790613372908,0.8085961801454165,0.13006909064001337,0.06133472921457014,H,True
2022-04-23,Man City,Watford,0.8998183898891324,0.05218146540803169,0.04800014470283584,0.860282465214287,0.10232833533601518,0.03738919944969786,H,True
2020-02-24,Liverpool,West Ham,0.8994003233074901,0.05232440292706857,0.0482752737654414,0.8424549242647694,0.10658120604009734,0.050963869695133335,H,True
2019-08-31,Man City,Brighton,0.8969284846993013,0.05318112084113456,0.049890394459564134,0.8973009678429524,0.07488959073114992,0.02780944142589759,H,True
2023-12-30,Man City,Sheffield United,0.8961469234016495,0.05345602193293911,0.05039705466541142,0.9040358744394619,0.06909417040358744,0.026869955156950672,H,True
2019-11-30,Liverpool,Brighton,0.8945899683813945,0.05400921496196649,0.05140081665663898,0.8045596870607361,0.13011746960550985,0.06532284333375395,H,True
2019-08-09,Liverpool,Norwich,0.8934371425297821,0.054423474280804206,0.05213938318941372,0.8566231523208512,0.09362899267936436,0.049747854999784534,H,True
2022-02-19,Liverpool,Norwich,0.891726554836346,0.05504524016629706,0.05322820499735696,0.8604814960903642,0.1018161351394881,0.037702368770147786,H,True
2024-04-04,Liverpool,Sheffield United,0.8889282687781763,0.05607991147380695,0.05499181974801675,0.9161780916018339,0.05249452849178077,0.031327379906385296,H,True
2023-11-04,Man City,Bournemouth,0.8866313202569553,0.05694476782508111,0.05642391191796363,0.8825905480005386,0.08365423454961628,0.03375521744984516,H,True
2020-12-05,Man City,Fulham,0.8856683869495099,0.05731134493094889,0.057020268119541154,0.8595016831240055,0.09810473756869961,0.042393579307294905,H,True
