mean_predicted_elo,empirical_freq_elo,ci_lo_elo,ci_hi_elo,residual_elo,significant_elo,count_elo,mean_predicted_mkt,empirical_freq_mkt,ci_lo_mkt,ci_hi_mkt,residual_mkt,significant_mkt,count_mkt
0.07676964787515515,0.10037174721189591,0.06990081838958982,0.1420961791357142,0.02360209933674076,False,269,0.07186861704283573,0.06687898089171974,0.044155398578840876,0.1000724180442821,-0.0049896361511159865,False,314
0.15756966901963523,0.16817807089859851,0.14818408736046768,0.1902671950414489,0.01060840187896328,False,1213,0.15674780087604592,0.15548539857932123,0.13657644020614434,0.17647720865143157,-0.0012624022967246962,False,1267
0.26005421922660843,0.2501737317581654,0.23468996430276548,0.2663235542750772,-0.009880487468443055,False,2878,0.25590237046762193,0.2541314726404701,0.23813288835444268,0.2708228206973776,-0.0017708978271518405,False,2723
0.34850271261244153,0.36875,0.3409872151170647,0.39741008215329804,0.020247287387558488,False,1120,0.3419742800697364,0.3385063045586809,0.31026820288036094,0.36794341907221617,-0.0034679755110554877,False,1031
0.4481809119770344,0.4547945205479452,0.41900218528574945,0.49106014969226225,0.006613608570910812,False,730,0.44650075799878486,0.4461738002594034,0.4114380092370248,0.4814433228958912,-0.00032695773938146155,False,771
0.5454881574562275,0.5491329479768786,0.506118943786078,0.5914249394856432,0.003644790520651142,False,519,0.5510216748126312,0.5576271186440678,0.5173053295429166,0.5972033205752294,0.006605443831436575,False,590
0.6479120027407221,0.6226912928759895,0.5728898440798351,0.6700304655207934,-0.025220709864732682,False,379,0.6466946038842282,0.6561679790026247,0.6071269633660884,0.7020911668984152,0.009473375118396521,False,381
0.7461934127649519,0.7345132743362832,0.6733688052905498,0.7878183775344916,-0.011680138428668663,False,226,0.74298285494056,0.7427536231884058,0.6880978800650266,0.7907444364454563,-0.0002292317521542797,False,276
0.8402816346096607,0.7777777777777778,0.6975778577959347,0.841540575741545,-0.06250385683188286,False,126,0.8387397946776746,0.8727272727272727,0.7976481880956428,0.9226508941379168,0.03398747804959812,False,110
0.9103609393205032,0.9,0.5958436145024278,0.9821242504842788,-0.010360939320503193,False,10,0.9094272841173513,1.0,0.6456611570247934,1.0,0.0905727158826487,False,7
