k,hfa,draw_min,draw_max,draw_scale,log_loss
25,75,0.04154804411535405,0.2946110870400056,285.99208411051075,0.977991575232214
30,75,7.3035121631732214e-09,0.29199897516223533,350.57175423633396,0.9781356183128359
30,100,1.535754702618279e-09,0.28600515649501307,374.28017258488313,0.9784315614364912
25,100,0.10256162844681639,0.29096968713293786,245.92819098105247,0.9785092969962709
20,75,0.09710259259438003,0.2950910831457036,227.62506197985516,0.9785694221659202
40,75,0.09132535926434346,0.299889792636353,271.09523787926395,0.9788671366203554
40,100,0.03985764065581282,0.28851580193897064,360.70486786511606,0.9789248317527574
20,100,0.10000529297112544,0.282922785985777,254.7830532040436,0.9796913233031065
50,100,0.07273037521647681,0.2925421074741262,340.07737834018434,0.9807581704352579
25,50,0.054622534174115764,0.30101344806931274,259.4480599784399,0.9811397034170811
15,75,0.06537928791146104,0.28574241882991075,253.5315109080858,0.9811401867150373
50,75,0.09778496248136793,0.2982709212855327,286.8651679037368,0.9811868912619413
20,50,0.10874010873520316,0.3051227863336836,195.7117962365722,0.981422487863953
30,50,0.01397204012532014,0.29566160442196393,320.1273362045755,0.9817220224905271
30,125,1.693781922643305e-13,0.2761119536722509,420.9074820832912,0.9819974112607506
40,125,0.02034327857959508,0.27998759120849576,418.53583877439564,0.9823511342310046
25,125,0.09338518384313588,0.27681474459948713,302.8951427388595,0.9823925519595151
15,100,0.0028832458949561547,0.26965839601005925,362.2137776889864,0.9827117670705507
40,50,0.11877623681841942,0.30600366058589645,225.41662658625089,0.9829171993658266
15,50,0.08911222768432935,0.29765924222484114,207.53486196846845,0.9834207830131612
50,125,0.07304666715538209,0.2851599832219758,374.40348641732027,0.9837848207925273
20,125,0.08772510134420403,0.2690027330750356,311.92182956501875,0.984044426565515
50,50,0.12681443862179903,0.3043195235328014,232.0502024797324,0.9855617788835798
15,125,1.79669009644518e-15,0.262551862323588,420.30044948154324,0.9866867548120957
10,75,0.008365466156532829,0.27259161255187947,302.1817853876999,0.986985347936158
10,50,0.09757403199700233,0.29190671879101776,183.34063908440396,0.9882771981272944
30,150,7.781260118225075e-19,0.26919620667045346,472.23114681616295,0.9883240141855296
40,150,2.4294794116784126e-08,0.27219164111071364,495.29192627341814,0.988541883530765
10,100,5.260868695837256e-21,0.2613355286888619,361.4073337327185,0.9886592420836222
25,150,0.07349834884347613,0.26266247876937143,384.40104115804587,0.9892838237144702
50,150,0.035767172264904584,0.2758848976688416,479.8972795586778,0.9897635223578558
20,150,2.7562813776664894e-12,0.25617496111110133,504.228570753188,0.9904883073052394
10,125,2.0257082379306047e-18,0.2534803672313148,432.3604224301377,0.9929293187417966
15,150,1.8400790810409176e-15,0.25753115093199885,474.6685485630949,0.9933675286517379
10,150,4.0072516869960124e-16,0.24852148595089255,502.10963302001727,0.9997964278903466
25,0,0.12910064453014444,0.30405972815263344,178.2352029173844,1.0011288026330576
20,0,0.139243864457315,0.3061475368567983,154.25329937990458,1.0013171451866774
30,0,0.11868500113129021,0.3004209299035174,201.2387853256497,1.0016764123058506
15,0,0.14370865829050178,0.30403941057614825,141.4113554155423,1.0026723413004235
40,0,0.15012893707827346,0.30262359526086036,179.69096316408834,1.0040237880549365
10,0,0.14199508619378054,0.30270870637170877,125.12129249933425,1.0066183524557688
50,0,0.15640256706464595,0.2988430522367787,190.30859004201864,1.0070362030266908
