step,full_kelly,half_kelly
0,1.0,1.0
1,0.9987388034348798,0.9993694017174398
2,0.9191888125650688,0.9595692925653905
3,0.8699069758586417,0.9338458848507423
4,1.0552547110961712,1.0333313612415522
5,0.8843150254643766,0.9496371894995379
6,0.8438755714903803,0.9279238812830483
7,0.983228128235314,1.0045397768546558
8,0.8910815570521317,0.9574678444128887
9,0.8730875174369116,0.9478005394471901
10,0.8033565425817502,0.9099514955289347
11,0.7457584902890972,0.8773312135960718
12,1.0429131037680675,1.052121726251257
13,0.9484161583025934,1.0044560631056936
14,1.0065815348485463,1.0352571859160495
15,0.8533437117287963,0.9564555429062146
16,0.9265749665243156,0.9974955357018797
17,0.9088447208115656,0.9879518713550502
18,0.895717192858539,0.9808167879296456
19,0.8052212645700741,0.9312699407705883
20,0.7583590343832475,0.9041709381419352
21,0.518597452963431,0.7612403180966059
22,0.5534558551617479,0.7868243438435057
23,0.5663749116440121,0.7960075768375483
24,1.00636921101798,1.1052010005455049
25,0.8858779620730859,1.0390388766286915
26,1.0716309372413975,1.1479729346549576
27,1.052761997757873,1.1378663620094869
28,0.967266147886425,1.0916627320022665
29,1.853124463311774,1.5915553990294768
30,1.6697222425265676,1.5127979274015222
31,1.5937630983379485,1.478387762354593
32,1.5223167346026778,1.4452506449495313
33,2.5741955452821412,1.9445647807624105
34,2.4146071651171606,1.8842877081723928
35,2.361280514774993,1.8634804412162216
36,1.8790078425526726,1.6731799482430236
37,2.305790077782976,1.8631960466547215
38,2.1810014406220635,1.8127782532775383
39,2.1394919689187186,1.7955275843400156
40,1.921793165825101,1.7041778125925793
41,1.8932434011484958,1.6915193547569982
42,1.7304252820524193,1.6187843858699889
43,2.067893640561633,1.7766324348859943
44,1.9247288345688718,1.7151323574952104
45,1.7287775549686342,1.6278259343516512
46,1.7944145879414262,1.6587280201115928
47,4.072329747849401,2.711562111120352
48,4.647427257466173,2.9030265447286614
49,4.537373608685564,2.868653907347292
50,3.4079081583938247,2.5116141574145354
51,3.4079081583938247,2.5116141574145354
52,3.369919222408808,2.4976153134007855
53,3.624146071555783,2.591825416017614
54,4.361556478497297,2.855506707694476
55,4.250015850583625,2.8189939383702463
56,3.3713820322300063,2.5275993300835706
57,2.5653898866150877,2.225464302395628
58,2.6138523771012006,2.246484799736938
59,3.0648171114637783,2.440276428873711
60,3.237316831855496,2.5089505106133174
61,3.0872659446409547,2.450805097351569
62,2.41108024001981,2.182412383319527
63,2.581258035632872,2.2594314145295615
64,2.542203140774616,2.242338614213638
65,3.002057401083387,2.4451447842364655
66,2.793844079324775,2.360350982904937
67,2.7281207678045245,2.3325881445821763
68,2.542979705172805,2.2534388171648208
69,2.263164802323446,2.1294610751444414
70,2.282742877074164,2.1386717937065898
71,2.8378497007027583,2.3987079366536617
72,3.611623527350708,2.7257262101541366
73,4.582898903478116,3.092241536286399
74,3.553861461488637,2.745077831878822
75,3.458420001140135,2.7082173295936443
76,3.661718605175405,2.787816800211586
77,3.423272538490641,2.6970474071581956
78,5.989519451257825,3.7079645200063203
79,5.6092411102301085,3.5902540252218413
80,6.51989828808739,3.8816918983805104
81,5.849020186330002,3.681984634760262
82,5.3932615208315235,3.538533565173753
83,5.062010497912846,3.4298662162450513
84,4.59530305130498,3.271752744863441
85,4.074240541008431,3.0862603323636773
86,4.010428093270924,3.062091186705607
87,3.608659970995431,2.908709727456496
88,3.1254424844443625,2.7139643905578716
89,2.758181637766958,2.5545097109581913
90,2.8551954558127686,2.5994347327373575
91,2.823533429531002,2.585021819138376
92,2.7942849153138942,2.5716329131247573
93,2.750264157604433,2.551376347882264
94,2.8651865976744046,2.6046822084529153
95,2.680314410211478,2.5206504567489767
96,2.452547098922664,2.413550749519604
97,2.0537322230554165,2.217313959002556
98,1.8559337162773222,2.110537285484614
99,2.04073559604661,2.215614113999552
100,1.9968096583301354,2.191769053482201
101,2.1993319321642817,2.30291686633927
102,2.1813599679173743,2.2935076591659076
103,2.3666043476467507,2.3908917246056873
104,2.1844018745183393,2.2988555577579044
105,2.0949548878605513,2.251788737132626
106,2.2351810516915105,2.3271506693144532
107,2.6003440748566207,2.5172447498643225
108,2.4738009177990503,2.4559951443189507
109,1.969775553731939,2.205796383809199
110,2.092722530319447,2.274635697974509
111,2.016891610039185,2.233424377366847
112,1.8814085014434425,2.158410113845444
113,1.8256548861323565,2.1264289765542683
114,2.1942860548750067,2.341110295797485
115,2.016514883842792,2.246277190999032
116,1.880393351286176,2.170461560716385
117,1.7649712864549802,2.1038480633852887
118,1.7253440876917239,2.080230227215582
119,1.9819458830877879,2.2349213450478573
120,2.4756925686431708,2.5133055875265606
121,2.1147824759007032,2.3301089006331015
122,2.0528023019260897,2.2959634136416973
123,1.8576237045400465,2.1868143449993354
124,1.8045626720523016,2.1555823396364926
125,1.7569367246289247,2.1271373172595385
126,2.7111427063921325,2.7047697167955786
127,2.881808425894699,2.789901987538339
128,2.6903676110406662,2.697234288836021
129,2.388898505713864,2.5461150134300774
130,1.817311357566706,2.241512993733499
131,1.6715761793653483,2.1516364587571806
132,2.0351632872853243,2.3856393378936023
133,3.0321901411159744,2.970001904350715
134,3.2550802589607786,3.07916129799883
135,2.9597398977892837,2.939471868321511
136,2.9395390071326233,2.929440589923594
137,3.1523700572015403,3.035490537781935
138,2.992141480777497,2.9583466240294327
139,2.906581939247481,2.916050031026575
140,2.1321692108200927,2.527582355255026
141,2.592398813115651,2.800372201441968
142,2.405251219329314,2.6992915118978797
143,2.641202904883815,2.8316898195916718
144,2.548209781454099,2.781839866674188
145,2.775345545865015,2.9058201074660674
146,2.7194788479584053,2.8765735557426924
147,2.5017626385663667,2.76142710202715
